Policy Name,Mean,Median,Upper Q,Lower Q,IQR,Upper W,Lower W,Average Ranking,Percentage Matching DeltaIoT
egreedy-0.2,0.3249814069506126,0.32467294112777906,0.32634855749592373,0.32275833330911574,0.0035902241868079887,0.3311165731485691,0.3184422580954935,1.03,3.0%
egreedy-0.4,0.3183285978990077,0.31822703906034705,0.3200434138162899,0.31670838695567544,0.0033350268606144873,0.3239854931580409,0.3124630210766278,2.02,0.0%
egreedy-0.6,0.3104747110772141,0.31060431499932256,0.31235403637646186,0.30856330916717395,0.003790727209287914,0.31689915929533896,0.304105043363488,4.32,1.0%
egreedy-0.8,0.30289505071589023,0.3029007821167106,0.30445806517684026,0.3010285273736789,0.0034295378031613533,0.3073768765081055,0.2983234374736346,8.89,31.0%
egreedy-1.0,0.29512195021410914,0.2952989866006507,0.29699319992644085,0.2935405675852213,0.0034526323412195636,0.30136260090542843,0.28943252906524036,14.03,6.0%
UCB-TN,0.3130509880056572,0.3129357534367371,0.31414636094980847,0.3114957068124382,0.0026506541373702563,0.3170418075600066,0.3093508071341042,3.19,0.0%
EXP3-333,0.30408196409780125,0.3034761412729851,0.30742216471014705,0.2998952632803749,0.007526901429772137,0.31799825946122573,0.2894462962470844,8.6,9.0%
DUCB-0.89,0.29649683823982614,0.2965727634245629,0.2977352781192437,0.29558635645152376,0.0021489216677199607,0.2998190038564004,0.29332556172180174,14.14,27.0%
DUCB-0.92,0.29746117975118685,0.29744602451076296,0.2985208400265972,0.2964840196651236,0.002036820361473568,0.3003111370349246,0.29452440351063125,13.05,19.0%
DUCB-0.95,0.2983822089260528,0.2984493970203531,0.2994639774396254,0.2974183565781897,0.002045620861435671,0.30124887388221877,0.2957560562561851,11.9,65.0%
DUCB-0.97,0.2995551703742816,0.29965758887487776,0.30080108422408064,0.29863218223367877,0.0021689019904018725,0.30242803579190203,0.2956264223935254,10.74,65.0%
DUCB-0.99,0.3033951282375478,0.30345095663974053,0.304581268599265,0.30246219232523613,0.0021190762740288527,0.3068997763619515,0.29941051777451494,8.96,26.0%
DUCB-0.992,0.3043022216568646,0.3043479050244391,0.30536068844417025,0.3034314818350621,0.0019292066091081694,0.3078209803003841,0.30087248093890046,7.75,37.0%
DUCB-0.995,0.30623204582703645,0.30631230909340895,0.307334836436156,0.3052879737117853,0.0020468627243707127,0.30997233348973363,0.3022546028400071,6.33,0.0%
DUCB-0.997,0.30834210617093727,0.30827673008156775,0.3093714128664938,0.30711000769079355,0.0022614051757002263,0.3113578454946573,0.30483556904947917,5.05,0.0%
